month,venue,gap,people
10.16,Charter Member,1,21546
10.16,Charter Member,2,14121
10.16,General Public,1,179279
10.16,General Public,2,104124
10.16,Groups,1,40827
10.16,Groups,2,31388
10.16,Same Day Walkups,1,22095
10.16,Same Day Walkups,2,8792
10.16,Tour Operators,1,4707
10.16,Tour Operators,2,4185
10.16,Total,1,268454
10.16,Total,2,162610
11.16,Charter Member,1,15000
11.16,Charter Member,2,7579
11.16,General Public,1,148518
11.16,General Public,2,73524
11.16,Groups,1,51836
11.16,Groups,2,34909
11.16,Same Day Walkups,1,25031
11.16,Same Day Walkups,2,16519
11.16,Tour Operators,1,4410
11.16,Tour Operators,2,3535
11.16,Total,1,244795
11.16,Total,2,136066
12.16,Charter Member,1,15055
12.16,Charter Member,2,6536
12.16,General Public,1,148899
12.16,General Public,2,65830
12.16,Groups,1,37219
12.16,Groups,2,21278
12.16,Same Day Walkups,1,25089
12.16,Same Day Walkups,2,15738
12.16,Tour Operators,1,3677
12.16,Tour Operators,2,2759
12.16,Total,1,246725
12.16,Total,2,121581
01.17,Charter Member,1,13898
01.17,Charter Member,2,3677
01.17,General Public,1,139054
01.17,General Public,2,39036
01.17,Groups,1,43921
01.17,Groups,2,21466
01.17,Same Day Walkups,1,5737
01.17,Same Day Walkups,2,4687
01.17,Tour Operators,1,4419
01.17,Tour Operators,2,2851
01.17,Total,1,228998
01.17,Total,2,83238
02.17,Charter Member,1,13104
02.17,Charter Member,2,3995
02.17,General Public,1,130492
02.17,General Public,2,39955
02.17,Groups,1,86264
02.17,Groups,2,45854
02.17,Same Day Walkups,1,6628
02.17,Same Day Walkups,2,5566
02.17,Tour Operators,1,8390
02.17,Tour Operators,2,6219
02.17,Total,1,266348
02.17,Total,2,112820
03.17,Charter Member,1,14700
03.17,Charter Member,2,4827
03.17,General Public,1,146258
03.17,General Public,2,42123
03.17,Groups,1,116445
03.17,Groups,2,59508
03.17,Same Day Walkups,1,5573
03.17,Same Day Walkups,2,4421
03.17,Tour Operators,1,23704
03.17,Tour Operators,2,16730
03.17,Total,1,329420
03.17,Total,2,142493
04.17,Charter Member,1,2105
04.17,Charter Member,2,884
04.17,General Public,1,107996
04.17,General Public,2,45007
04.17,Groups,1,73479
04.17,Groups,2,39839
04.17,Same Day Walkups,1,7122
04.17,Same Day Walkups,2,5737
04.17,Tour Operators,1,34295
04.17,Tour Operators,2,23820
04.17,Total,1,246637
04.17,Total,2,128987
05.17,Charter Member,1,2170
05.17,Charter Member,2,825
05.17,General Public,1,112031
05.17,General Public,2,40601
05.17,Groups,1,74273
05.17,Groups,2,33602
05.17,Same Day Walkups,1,7906
05.17,Same Day Walkups,2,6309
05.17,Tour Operators,1,39725
05.17,Tour Operators,2,24075
05.17,Total,1,259274
05.17,Total,2,119405
06.17,Charter Member,1,2100
06.17,Charter Member,2,917
06.17,General Public,1,108654
06.17,General Public,2,39759
06.17,Groups,1,73588
06.17,Groups,2,30183
06.17,Same Day Walkups,1,8801
06.17,Same Day Walkups,2,5460
06.17,Tour Operators,1,35284
